"","county_fips","county_name","state_name","population","id"
"403","13023","Bleckley","Georgia",0,"13023"
"404","13025","Brantley","Georgia",0,"13025"
"405","13027","Brooks","Georgia",1,"13027"
"406","13029","Bryan","Georgia",3,"13029"
"407","13031","Bulloch","Georgia",0,"13031"
"408","13033","Burke","Georgia",0,"13033"
"409","13035","Butts","Georgia",0,"13035"
"410","13037","Calhoun","Georgia",0,"13037"
"411","13039","Camden","Georgia",0,"13039"
"412","13043","Candler","Georgia",0,"13043"
"413","13045","Carroll","Georgia",0,"13045"
"414","13047","Catoosa","Georgia",1,"13047"
"415","13049","Charlton","Georgia",0,"13049"
"416","13051","Chatham","Georgia",7,"13051"
"417","13053","Chattahoochee","Georgia",1,"13053"
"418","13055","Chattooga","Georgia",0,"13055"
"419","13057","Cherokee","Georgia",7,"13057"
"420","13059","Clarke","Georgia",0,"13059"
"421","13061","Clay","Georgia",0,"13061"
"422","13063","Clayton","Georgia",1,"13063"
"423","13065","Clinch","Georgia",0,"13065"
"424","13067","Cobb","Georgia",43,"13067"
"425","13069","Coffee","Georgia",3,"13069"
"426","13071","Colquitt","Georgia",1,"13071"
"427","13073","Columbia","Georgia",5,"13073"
"428","13075","Cook","Georgia",0,"13075"
"429","13077","Coweta","Georgia",3,"13077"
"430","13079","Crawford","Georgia",1,"13079"
"431","13081","Crisp","Georgia",0,"13081"
"432","13083","Dade","Georgia",0,"13083"
"433","13085","Dawson","Georgia",0,"13085"
"434","13087","Decatur","Georgia",0,"13087"
"435","13089","DeKalb","Georgia",30,"13089"
"436","13091","Dodge","Georgia",1,"13091"
"437","13093","Dooly","Georgia",1,"13093"
"438","13095","Dougherty","Georgia",1,"13095"
"439","13097","Douglas","Georgia",0,"13097"
"440","13099","Early","Georgia",0,"13099"
"441","13101","Echols","Georgia",0,"13101"
"442","13103","Effingham","Georgia",0,"13103"
"443","13105","Elbert","Georgia",0,"13105"
"444","13107","Emanuel","Georgia",13,"13107"
"445","13109","Evans","Georgia",0,"13109"
"446","13111","Fannin","Georgia",0,"13111"
"447","13113","Fayette","Georgia",4,"13113"
"448","13115","Floyd","Georgia",1,"13115"
"449","13117","Forsyth","Georgia",14,"13117"
"450","13119","Franklin","Georgia",0,"13119"
"451","13121","Fulton","Georgia",86,"13121"
"452","13123","Gilmer","Georgia",0,"13123"
"453","13125","Glascock","Georgia",0,"13125"
"454","13127","Glynn","Georgia",3,"13127"
"455","13129","Gordon","Georgia",3,"13129"
"456","13131","Grady","Georgia",0,"13131"
"457","13133","Greene","Georgia",0,"13133"
"458","13135","Gwinnett","Georgia",45,"13135"
"459","13137","Habersham","Georgia",0,"13137"
"460","13139","Hall","Georgia",2,"13139"
"461","13141","Hancock","Georgia",0,"13141"
"462","13143","Haralson","Georgia",0,"13143"
"463","13145","Harris","Georgia",0,"13145"
"464","13147","Hart","Georgia",0,"13147"
"465","13149","Heard","Georgia",0,"13149"
"466","13151","Henry","Georgia",1,"13151"
"467","13153","Houston","Georgia",19,"13153"
"468","13155","Irwin","Georgia",0,"13155"
"469","13157","Jackson","Georgia",1,"13157"
"470","13159","Jasper","Georgia",0,"13159"
"471","13161","Jeff Davis","Georgia",1,"13161"
"472","13163","Jefferson","Georgia",0,"13163"
"473","13165","Jenkins","Georgia",0,"13165"
"474","13167","Johnson","Georgia",0,"13167"
"475","13169","Jones","Georgia",1,"13169"
"476","13171","Lamar","Georgia",0,"13171"
"477","13173","Lanier","Georgia",0,"13173"
"478","13175","Laurens","Georgia",2,"13175"
"479","13177","Lee","Georgia",0,"13177"
"480","13179","Liberty","Georgia",0,"13179"
"481","13181","Lincoln","Georgia",0,"13181"
"482","13183","Long","Georgia",0,"13183"
"483","13185","Lowndes","Georgia",3,"13185"
"484","13187","Lumpkin","Georgia",0,"13187"
"485","13189","McDuffie","Georgia",0,"13189"
"486","13191","McIntosh","Georgia",0,"13191"
"487","13193","Macon","Georgia",0,"13193"
"488","13195","Madison","Georgia",1,"13195"
"489","13197","Marion","Georgia",0,"13197"
"490","13199","Meriwether","Georgia",1,"13199"
"491","13201","Miller","Georgia",0,"13201"
"492","13205","Mitchell","Georgia",0,"13205"
"493","13207","Monroe","Georgia",1,"13207"
"494","13209","Montgomery","Georgia",0,"13209"
"495","13211","Morgan","Georgia",0,"13211"
"496","13213","Murray","Georgia",0,"13213"
"497","13215","Muscogee","Georgia",0,"13215"
"498","13217","Newton","Georgia",6,"13217"
"499","13219","Oconee","Georgia",0,"13219"
"500","13221","Oglethorpe","Georgia",0,"13221"
"501","13223","Paulding","Georgia",1,"13223"
"502","13225","Peach","Georgia",0,"13225"
"503","13227","Pickens","Georgia",0,"13227"
"504","13229","Pierce","Georgia",0,"13229"
"505","13231","Pike","Georgia",0,"13231"
"506","13233","Polk","Georgia",0,"13233"
"507","13235","Pulaski","Georgia",0,"13235"
"508","13237","Putnam","Georgia",1,"13237"
"509","13239","Quitman","Georgia",0,"13239"
"510","13241","Rabun","Georgia",0,"13241"
"511","13243","Randolph","Georgia",0,"13243"
"512","13245","Richmond","Georgia",1,"13245"
"513","13247","Rockdale","Georgia",3,"13247"
"514","13249","Schley","Georgia",0,"13249"
"515","13251","Screven","Georgia",0,"13251"
"516","13253","Seminole","Georgia",0,"13253"
"517","13255","Spalding","Georgia",1,"13255"
"518","13257","Stephens","Georgia",0,"13257"
"519","13259","Stewart","Georgia",0,"13259"
"520","13261","Sumter","Georgia",0,"13261"
"521","13263","Talbot","Georgia",0,"13263"
"522","13265","Taliaferro","Georgia",0,"13265"
"523","13267","Tattnall","Georgia",0,"13267"
"524","13269","Taylor","Georgia",1,"13269"
"525","13271","Telfair","Georgia",1,"13271"
"526","13273","Terrell","Georgia",0,"13273"
"527","13275","Thomas","Georgia",0,"13275"
"528","13277","Tift","Georgia",0,"13277"
"529","13279","Toombs","Georgia",0,"13279"
"530","13281","Towns","Georgia",0,"13281"
"531","13283","Treutlen","Georgia",0,"13283"
"532","13285","Troup","Georgia",0,"13285"
"533","13287","Turner","Georgia",0,"13287"
"534","13289","Twiggs","Georgia",2,"13289"
"535","13291","Union","Georgia",0,"13291"
"536","13293","Upson","Georgia",0,"13293"
"537","13295","Walker","Georgia",1,"13295"
"538","13297","Walton","Georgia",2,"13297"
"539","13299","Ware","Georgia",8,"13299"
"540","13301","Warren","Georgia",0,"13301"
"541","13303","Washington","Georgia",0,"13303"
"542","13305","Wayne","Georgia",2,"13305"
"543","13307","Webster","Georgia",0,"13307"
"544","13309","Wheeler","Georgia",0,"13309"
"545","13311","White","Georgia",0,"13311"
"546","13313","Whitfield","Georgia",1,"13313"
"547","13315","Wilcox","Georgia",46,"13315"
"548","13317","Wilkes","Georgia",0,"13317"
"549","13319","Wilkinson","Georgia",9,"13319"
"550","13321","Worth","Georgia",0,"13321"
"551","66010","Guam","Guam",1,"66010"
"552","15001","Hawaii","Hawaii",4,"15001"
"553","15003","Honolulu","Hawaii",20,"15003"
"554","15005","Kalawao","Hawaii",0,"15005"
"555","15007","Kauai","Hawaii",0,"15007"
"556","15009","Maui","Hawaii",3,"15009"
"557","16001","Ada","Idaho",12,"16001"
"558","16003","Adams","Idaho",0,"16003"
"559","16005","Bannock","Idaho",0,"16005"
"560","16007","Bear Lake","Idaho",1,"16007"
"561","16009","Benewah","Idaho",0,"16009"
"562","16011","Bingham","Idaho",0,"16011"
"563","16013","Blaine","Idaho",0,"16013"
"564","16015","Boise","Idaho",0,"16015"
"565","16017","Bonner","Idaho",0,"16017"
"566","16019","Bonneville","Idaho",1,"16019"
"567","16021","Boundary","Idaho",0,"16021"
"568","16023","Butte","Idaho",0,"16023"
"569","16025","Camas","Idaho",0,"16025"
"570","16027","Canyon","Idaho",2,"16027"
"571","16029","Caribou","Idaho",0,"16029"
"572","16031","Cassia","Idaho",0,"16031"
"573","16033","Clark","Idaho",0,"16033"
"574","16035","Clearwater","Idaho",0,"16035"
"575","16037","Custer","Idaho",0,"16037"
"576","16039","Elmore","Idaho",6,"16039"
"577","16041","Franklin","Idaho",0,"16041"
"578","16043","Fremont","Idaho",0,"16043"
"579","16045","Gem","Idaho",0,"16045"
"580","16047","Gooding","Idaho",0,"16047"
"581","16049","Idaho","Idaho",0,"16049"
"582","16051","Jefferson","Idaho",1,"16051"
