"","county_fips","county_name","state_name","state_id","population","id"
"164","05099","Nevada","Arkansas","AR",0,"05099"
"165","05101","Newton","Arkansas","AR",0,"05101"
"166","05103","Ouachita","Arkansas","AR",0,"05103"
"167","05105","Perry","Arkansas","AR",0,"05105"
"168","05107","Phillips","Arkansas","AR",0,"05107"
"169","05109","Pike","Arkansas","AR",0,"05109"
"170","05111","Poinsett","Arkansas","AR",0,"05111"
"171","05113","Polk","Arkansas","AR",0,"05113"
"172","05115","Pope","Arkansas","AR",0,"05115"
"173","05117","Prairie","Arkansas","AR",0,"05117"
"174","05119","Pulaski","Arkansas","AR",6,"05119"
"175","05121","Randolph","Arkansas","AR",0,"05121"
"176","05123","St. Francis","Arkansas","AR",0,"05123"
"177","05125","Saline","Arkansas","AR",1,"05125"
"178","05127","Scott","Arkansas","AR",0,"05127"
"179","05129","Searcy","Arkansas","AR",0,"05129"
"180","05131","Sebastian","Arkansas","AR",0,"05131"
"181","05133","Sevier","Arkansas","AR",0,"05133"
"182","05135","Sharp","Arkansas","AR",0,"05135"
"183","05137","Stone","Arkansas","AR",0,"05137"
"184","05139","Union","Arkansas","AR",0,"05139"
"185","05141","Van Buren","Arkansas","AR",0,"05141"
"186","05143","Washington","Arkansas","AR",5,"05143"
"187","05145","White","Arkansas","AR",1,"05145"
"188","05147","Woodruff","Arkansas","AR",0,"05147"
"189","05149","Yell","Arkansas","AR",0,"05149"
"190","47167","Tipton","Arkansas","AR",0,"47167"
"191","06001","Alameda","California","CA",394,"06001"
"192","06003","Alpine","California","CA",0,"06003"
"193","06005","Amador","California","CA",0,"06005"
"194","06007","Butte","California","CA",1,"06007"
"195","06009","Calaveras","California","CA",0,"06009"
"196","06011","Colusa","California","CA",0,"06011"
"197","06013","Contra Costa","California","CA",159,"06013"
"198","06015","Del Norte","California","CA",0,"06015"
"199","06017","El Dorado","California","CA",7,"06017"
"200","06019","Fresno","California","CA",14,"06019"
"201","06021","Glenn","California","CA",0,"06021"
"202","06023","Humboldt","California","CA",0,"06023"
"203","06025","Imperial","California","CA",0,"06025"
"204","06027","Inyo","California","CA",0,"06027"
"205","06029","Kern","California","CA",9,"06029"
"206","06031","Kings","California","CA",0,"06031"
"207","06033","Lake","California","CA",0,"06033"
"208","06035","Lassen","California","CA",1,"06035"
"209","06037","Los Angeles","California","CA",357,"06037"
"210","06039","Madera","California","CA",3,"06039"
"211","06041","Marin","California","CA",14,"06041"
"212","06043","Mariposa","California","CA",0,"06043"
"213","06045","Mendocino","California","CA",1,"06045"
"214","06047","Merced","California","CA",2,"06047"
"215","06049","Modoc","California","CA",0,"06049"
"216","06051","Mono","California","CA",0,"06051"
"217","06053","Monterey","California","CA",12,"06053"
"218","06055","Napa","California","CA",2,"06055"
"219","06057","Nevada","California","CA",1,"06057"
"220","06059","Orange","California","CA",243,"06059"
"221","06061","Placer","California","CA",18,"06061"
"222","06063","Plumas","California","CA",0,"06063"
"223","06065","Riverside","California","CA",34,"06065"
"224","06067","Sacramento","California","CA",51,"06067"
"225","06069","San Benito","California","CA",0,"06069"
"226","06071","San Bernardino","California","CA",36,"06071"
"227","06073","San Diego","California","CA",195,"06073"
"228","06075","San Francisco","California","CA",77,"06075"
"229","06077","San Joaquin","California","CA",20,"06077"
"230","06079","San Luis Obispo","California","CA",9,"06079"
"231","06081","San Mateo","California","CA",102,"06081"
"232","06083","Santa Barbara","California","CA",13,"06083"
"233","06085","Santa Clara","California","CA",882,"06085"
"234","06087","Santa Cruz","California","CA",10,"06087"
"235","06089","Shasta","California","CA",1,"06089"
"236","06091","Sierra","California","CA",0,"06091"
"237","06093","Siskiyou","California","CA",0,"06093"
"238","06095","Solano","California","CA",2,"06095"
"239","06097","Sonoma","California","CA",9,"06097"
"240","06099","Stanislaus","California","CA",4,"06099"
"241","06101","Sutter","California","CA",3,"06101"
"242","06103","Tehama","California","CA",0,"06103"
"243","06105","Trinity","California","CA",0,"06105"
"244","06107","Tulare","California","CA",4,"06107"
"245","06109","Tuolumne","California","CA",0,"06109"
"246","06111","Ventura","California","CA",30,"06111"
"247","06113","Yolo","California","CA",12,"06113"
"248","06115","Yuba","California","CA",0,"06115"
"249","08001","Adams","Colorado","CO",11,"08001"
"250","08003","Alamosa","Colorado","CO",0,"08003"
"251","08005","Arapahoe","Colorado","CO",31,"08005"
"252","08007","Archuleta","Colorado","CO",0,"08007"
"253","08009","Baca","Colorado","CO",0,"08009"
"254","08011","Bent","Colorado","CO",0,"08011"
"255","08013","Boulder","Colorado","CO",18,"08013"
"256","08014","Broomfield","Colorado","CO",6,"08014"
"257","08015","Chaffee","Colorado","CO",0,"08015"
"258","08017","Cheyenne","Colorado","CO",0,"08017"
"259","08019","Clear Creek","Colorado","CO",2,"08019"
"260","08021","Conejos","Colorado","CO",0,"08021"
"261","08023","Costilla","Colorado","CO",0,"08023"
"262","08025","Crowley","Colorado","CO",0,"08025"
"263","08027","Custer","Colorado","CO",0,"08027"
"264","08029","Delta","Colorado","CO",0,"08029"
"265","08031","Denver","Colorado","CO",35,"08031"
"266","08033","Dolores","Colorado","CO",0,"08033"
"267","08035","Douglas","Colorado","CO",23,"08035"
"268","08037","Eagle","Colorado","CO",1,"08037"
"269","08039","Elbert","Colorado","CO",0,"08039"
"270","08041","El Paso","Colorado","CO",11,"08041"
