"","id","county_name","state_name","population"
"469","20131","Nemaha","Kansas",1
"470","20139","Osage","Kansas",1
"471","20155","Reno","Kansas",1
"472","20169","Saline","Kansas",2
"473","20173","Sedgwick","Kansas",9
"474","20177","Shawnee","Kansas",5
"475","20181","Sherman","Kansas",1
"476","20189","Stevens","Kansas",2
"477","20193","Thomas","Kansas",1
"478","21003","Allen","Kentucky",6
"479","21009","Barren","Kentucky",5
"480","21011","Bath","Kentucky",1
"481","21015","Boone","Kentucky",4
"482","21019","Boyd","Kentucky",18
"483","21023","Bracken","Kentucky",1
"484","21025","Breathitt","Kentucky",2
"485","21027","Breckinridge","Kentucky",2
"486","21029","Bullitt","Kentucky",5
"487","21035","Calloway","Kentucky",1
"488","21037","Campbell","Kentucky",8
"489","21059","Daviess","Kentucky",1
"490","21065","Estill","Kentucky",1
"491","21067","Fayette","Kentucky",15
"492","21071","Floyd","Kentucky",1
"493","21073","Franklin","Kentucky",1
"494","21083","Graves","Kentucky",2
"495","21093","Hardin","Kentucky",1
"496","21095","Harlan","Kentucky",1
"497","21101","Henderson","Kentucky",1
"498","21103","Henry","Kentucky",54
"499","21107","Hopkins","Kentucky",2
"500","21111","Jefferson","Kentucky",29
"501","21113","Jessamine","Kentucky",1
"502","21117","Kenton","Kentucky",3
"503","21123","Larue","Kentucky",1
"504","21127","Lawrence","Kentucky",1
"505","21129","Lee","Kentucky",1
"506","21137","Lincoln","Kentucky",1
"507","21145","McCracken","Kentucky",1
"508","21151","Madison","Kentucky",3
"509","21155","Marion","Kentucky",45
"510","21161","Mason","Kentucky",1
"511","21163","Meade","Kentucky",1
"512","21171","Monroe","Kentucky",1
"513","21179","Nelson","Kentucky",37
"514","21185","Oldham","Kentucky",24
"515","21191","Pendleton","Kentucky",2
"516","21193","Perry","Kentucky",2
"517","21195","Pike","Kentucky",1
"518","21199","Pulaski","Kentucky",1
"519","21209","Scott","Kentucky",1
"520","21211","Shelby","Kentucky",16
"521","21223","Trimble","Kentucky",45
"522","21227","Warren","Kentucky",3
"523","21229","Washington","Kentucky",19
"524","21235","Whitley","Kentucky",1
"525","22005","Ascension","Louisiana",3
"526","22009","Avoyelles","Louisiana",2
"527","22013","Bienville","Louisiana",8
"528","22015","Bossier","Louisiana",31
"529","22017","Caddo","Louisiana",20
"530","22027","Claiborne","Louisiana",4
"531","22033","East Baton Rouge","Louisiana",4
"532","22039","Evangeline","Louisiana",1
"533","22051","Jefferson","Louisiana",52
"534","22055","Lafayette","Louisiana",2
"535","22061","Lincoln","Louisiana",2
"536","22063","Livingston","Louisiana",1
"537","22067","Morehouse","Louisiana",1
"538","22069","Natchitoches","Louisiana",3
"539","22071","Orleans","Louisiana",14
"540","22073","Ouachita","Louisiana",1
"541","22079","Rapides","Louisiana",1
"542","22095","St. John the Baptist","Louisiana",2
"543","22097","St. Landry","Louisiana",2
"544","22101","St. Mary","Louisiana",1
"545","22103","St. Tammany","Louisiana",3
"546","22105","Tangipahoa","Louisiana",1
"547","22109","Terrebonne","Louisiana",1
"548","22111","Union","Louisiana",1
"549","22115","Vernon","Louisiana",1
"550","22117","Washington","Louisiana",1
"551","22119","Webster","Louisiana",1
"552","22121","West Baton Rouge","Louisiana",1
"553","23001","Androscoggin","Maine",3
"554","23003","Aroostook","Maine",2
"555","23005","Cumberland","Maine",11
"556","23009","Hancock","Maine",4
"557","23011","Kennebec","Maine",2
"558","23013","Knox","Maine",1
"559","23017","Oxford","Maine",1
"560","23019","Penobscot","Maine",5
"561","23023","Sagadahoc","Maine",2
"562","23025","Somerset","Maine",1
"563","23027","Waldo","Maine",2
"564","23029","Washington","Maine",2
"565","23031","York","Maine",5
"566","24001","Allegany","Maryland",46
"567","24003","Anne Arundel","Maryland",19
"568","24005","Baltimore","Maryland",27
"569","24009","Calvert","Maryland",1
"570","24013","Carroll","Maryland",3
"571","24015","Cecil","Maryland",1
"572","24017","Charles","Maryland",4
"573","24019","Dorchester","Maryland",1
"574","24021","Frederick","Maryland",13
"575","24023","Garrett","Maryland",13
"576","24025","Harford","Maryland",51
"577","24027","Howard","Maryland",25
"578","24031","Montgomery","Maryland",93
"579","24033","Prince George's","Maryland",22
"580","24037","St. Mary's","Maryland",5
"581","24043","Washington","Maryland",1
"582","24045","Wicomico","Maryland",1
"583","24510","Baltimore","Maryland",11
"584","25001","Barnstable","Massachusetts",3
"585","25003","Berkshire","Massachusetts",4
"586","25005","Bristol","Massachusetts",7
"587","25009","Essex","Massachusetts",20
"588","25011","Franklin","Massachusetts",3
"589","25013","Hampden","Massachusetts",22
"590","25015","Hampshire","Massachusetts",11
"591","25017","Middlesex","Massachusetts",141
"592","25019","Nantucket","Massachusetts",1
"593","25021","Norfolk","Massachusetts",39
"594","25023","Plymouth","Massachusetts",6
"595","25025","Suffolk","Massachusetts",25
"596","25027","Worcester","Massachusetts",30
"597","26005","Allegan","Michigan",2
"598","26015","Barry","Michigan",1
"599","26017","Bay","Michigan",1
"600","26021","Berrien","Michigan",9
"601","26025","Calhoun","Michigan",1
"602","26029","Charlevoix","Michigan",1
"603","26031","Cheboygan","Michigan",1
"604","26037","Clinton","Michigan",4
"605","26045","Eaton","Michigan",1
"606","26049","Genesee","Michigan",5
"607","26055","Grand Traverse","Michigan",3
"608","26061","Houghton","Michigan",2
"609","26065","Ingham","Michigan",20
"610","26067","Ionia","Michigan",3
"611","26071","Iron","Michigan",1
"612","26073","Isabella","Michigan",1
"613","26075","Jackson","Michigan",3
"614","26077","Kalamazoo","Michigan",18
"615","26081","Kent","Michigan",34
"616","26087","Lapeer","Michigan",1
"617","26089","Leelanau","Michigan",2
"618","26091","Lenawee","Michigan",3
"619","26093","Livingston","Michigan",7
"620","26099","Macomb","Michigan",14
"621","26107","Mecosta","Michigan",1
"622","26109","Menominee","Michigan",1
"623","26111","Midland","Michigan",5
"624","26115","Monroe","Michigan",2
"625","26117","Montcalm","Michigan",1
"626","26125","Oakland","Michigan",119
"627","26127","Oceana","Michigan",2
"628","26139","Ottawa","Michigan",7
"629","26145","Saginaw","Michigan",8
"630","26147","St. Clair","Michigan",4
"631","26151","Sanilac","Michigan",1
"632","26155","Shiawassee","Michigan",2
"633","26157","Tuscola","Michigan",1
"634","26159","Van Buren","Michigan",3
"635","26161","Washtenaw","Michigan",37
"636","26163","Wayne","Michigan",57
"637","26165","Wexford","Michigan",1
"638","27003","Anoka","Minnesota",10
"639","27007","Beltrami","Minnesota",1
"640","27011","Big Stone","Minnesota",2
"641","27013","Blue Earth","Minnesota",43
"642","27015","Brown","Minnesota",2
"643","27019","Carver","Minnesota",5
"644","27025","Chisago","Minnesota",2
"645","27031","Cook","Minnesota",1
"646","27035","Crow Wing","Minnesota",1
"647","27037","Dakota","Minnesota",18
"648","27039","Dodge","Minnesota",1
"649","27043","Faribault","Minnesota",3
"650","27047","Freeborn","Minnesota",62
"651","27049","Goodhue","Minnesota",1
"652","27051","Grant","Minnesota",1
"653","27053","Hennepin","Minnesota",81
"654","27059","Isanti","Minnesota",2
"655","27073","Lac qui Parle","Minnesota",2
"656","27079","Le Sueur","Minnesota",1
"657","27083","Lyon","Minnesota",1
"658","27087","Mahnomen","Minnesota",1
"659","27091","Martin","Minnesota",2
"660","27095","Mille Lacs","Minnesota",2
"661","27103","Nicollet","Minnesota",27
"662","27105","Nobles","Minnesota",1
"663","27109","Olmsted","Minnesota",10
"664","27111","Otter Tail","Minnesota",2
"665","27121","Pope","Minnesota",1
"666","27123","Ramsey","Minnesota",32
"667","27127","Redwood","Minnesota",1
"668","27131","Rice","Minnesota",2
"669","27137","St. Louis","Minnesota",5
"670","27139","Scott","Minnesota",10
"671","27143","Sibley","Minnesota",1
"672","27145","Stearns","Minnesota",3
"673","27147","Steele","Minnesota",3
"674","27151","Swift","Minnesota",2
"675","27153","Todd","Minnesota",1
"676","27157","Wabasha","Minnesota",1
"677","27163","Washington","Minnesota",18
"678","27169","Winona","Minnesota",1
"679","27171","Wright","Minnesota",3
"680","28011","Bolivar","Mississippi",1
"681","28019","Choctaw","Mississippi",1
"682","28021","Claiborne","Mississippi",1
"683","28029","Copiah","Mississippi",1
"684","28041","Greene","Mississippi",3
"685","28049","Hinds","Mississippi",3
"686","28059","Jackson","Mississippi",1
"687","28071","Lafayette","Mississippi",2
"688","28075","Lauderdale","Mississippi",1
"689","28087","Lowndes","Mississippi",2
"690","28089","Madison","Mississippi",2
"691","28091","Marion","Mississippi",1
"692","28095","Monroe","Mississippi",1
"693","28105","Oktibbeha","Mississippi",2
"694","28149","Warren","Mississippi",1
"695","28163","Yazoo","Mississippi",1
"696","29001","Adair","Missouri",1
"697","29003","Andrew","Missouri",1
"698","29007","Audrain","Missouri",1
"699","29009","Barry","Missouri",1
"700","29013","Bates","Missouri",1
"701","29019","Boone","Missouri",17
"702","29027","Callaway","Missouri",1
"703","29029","Camden","Missouri",5
"704","29031","Cape Girardeau","Missouri",1
"705","29033","Carroll","Missouri",1
"706","29037","Cass","Missouri",1
"707","29043","Christian","Missouri",2
"708","29047","Clay","Missouri",9
"709","29049","Clinton","Missouri",2
"710","29051","Cole","Missouri",1
"711","29071","Franklin","Missouri",4
"712","29073","Gasconade","Missouri",1
"713","29077","Greene","Missouri",6
"714","29095","Jackson","Missouri",17
"715","29097","Jasper","Missouri",1
"716","29099","Jefferson","Missouri",7
"717","29101","Johnson","Missouri",1
"718","29121","Macon","Missouri",1
"719","29133","Mississippi","Missouri",1
"720","29135","Moniteau","Missouri",2
"721","29141","Morgan","Missouri",2
"722","29143","New Madrid","Missouri",1
"723","29147","Nodaway","Missouri",1
"724","29161","Phelps","Missouri",2
"725","29163","Pike","Missouri",2
"726","29165","Platte","Missouri",3
"727","29169","Pulaski","Missouri",1
"728","29171","Putnam","Missouri",1
"729","29173","Ralls","Missouri",1
"730","29177","Ray","Missouri",2
"731","29181","Ripley","Missouri",1
"732","29183","St. Charles","Missouri",28
"733","29187","St. Francois","Missouri",1
"734","29189","St. Louis","Missouri",163
"735","29201","Scott","Missouri",1
"736","29223","Wayne","Missouri",1
"737","29510","St. Louis","Missouri",23
"738","30005","Blaine","Montana",1
"739","30013","Cascade","Montana",1
"740","30015","Chouteau","Montana",1
"741","30029","Flathead","Montana",1
"742","30031","Gallatin","Montana",3
"743","30049","Lewis and Clark","Montana",2
"744","30057","Madison","Montana",1
"745","30061","Mineral","Montana",1
"746","30063","Missoula","Montana",1
"747","30091","Sheridan","Montana",1
"748","30095","Stillwater","Montana",1
"749","31001","Adams","Nebraska",1
"750","31011","Boone","Nebraska",1
"751","31035","Clay","Nebraska",1
"752","31053","Dodge","Nebraska",2
"753","31055","Douglas","Nebraska",20
"754","31059","Fillmore","Nebraska",2
"755","31067","Gage","Nebraska",2
"756","31079","Hall","Nebraska",1
"757","31087","Hitchcock","Nebraska",1
"758","31091","Hooker","Nebraska",1
"759","31109","Lancaster","Nebraska",10
"760","31153","Sarpy","Nebraska",4
"761","31155","Saunders","Nebraska",1
"762","31163","Sherman","Nebraska",1
"763","31173","Thurston","Nebraska",1
"764","31181","Webster","Nebraska",1
"765","31185","York","Nebraska",1
"766","32001","Churchill","Nevada",2
