zipCode,population,year
7024,5,2022
7028,1,2022
7029,3,2022
7030,4,2022
7031,1,2022
7034,1,2022
7035,1,2022
7036,2,2022
7039,14,2022
7040,1,2022
7041,3,2022
7042,2,2022
7043,3,2022
7045,2,2022
7046,2,2022
7052,1,2022
7054,6,2022
7055,1,2022
7058,2,2022
7059,1,2022
7063,1,2022
7064,2,2022
7067,2,2022
7069,2,2022
7070,5,2022
7075,1,2022
7076,3,2022
7078,4,2022
7079,1,2022
7080,1,2022
7081,2,2022
7082,2,2022
7086,2,2022
7090,3,2022
7093,3,2022
7094,1,2022
7100,5,2022
7102,1,2022
7105,1,2022
7109,2,2022
7110,1,2022
7111,1,2022
7114,1,2022
7140,1,2022
7204,1,2022
7205,2,2022
7208,2,2022
7209,1,2022
7275,1,2022
7302,9,2022
7304,2,2022
7305,1,2022
7306,4,2022
7307,2,2022
7310,1,2022
7311,1,2022
7336,1,2022
7339,1,2022
7401,1,2022
7403,1,2022
7410,2,2022
7417,3,2022
7423,1,2022
7424,1,2022
7430,3,2022
7435,1,2022
7436,1,2022
7438,1,2022
7439,1,2022
7450,7,2022
7452,3,2022
7458,1,2022
7462,1,2022
7465,1,2022
7470,7,2022
7480,1,2022
7481,1,2022
7500,4,2022
7510,1,2022
7524,1,2022
7534,1,2022
7547,1,2022
7601,3,2022
7605,4,2022
7624,2,2022
7626,3,2022
7627,2,2022
7628,1,2022
7632,1,2022
7641,1,2022
7642,1,2022
7643,1,2022
7645,2,2022
7648,1,2022
7650,3,2022
7651,1,2022
7652,3,2022
7657,4,2022
7666,1,2022
7670,4,2022
7675,3,2022
7677,1,2022
7704,1,2022
7712,1,2022
7719,3,2022
7722,1,2022
7726,4,2022
7728,3,2022
7733,6,2022
7746,4,2022
7748,1,2022
7751,6,2022
7753,1,2022
7760,1,2022
7762,1,2022
7764,1,2022
7809,1,2022
7828,3,2022
7830,1,2022
7834,1,2022
7836,1,2022
7840,3,2022
7849,1,2022
7853,4,2022
7856,1,2022
7860,1,2022
7866,1,2022
7869,1,2022
7871,1,2022
7885,3,2022
7897,1,2022
7901,2,2022
7920,17,2022
7922,1,2022
7927,2,2022
7928,2,2022
7930,1,2022
7931,1,2022
7936,1,2022
7940,2,2022
7945,1,2022
7948,1,2022
7950,5,2022
7960,7,2022
7974,1,2022
7981,4,2022
7982,2,2022
7987,1,2022
7998,1,2022
8001,1,2022
8002,1,2022
8003,5,2022
8007,2,2022
8008,2,2022
8014,1,2022
8017,2,2022
8018,1,2022
8022,2,2022
8033,3,2022
8037,1,2022
8043,4,2022
8053,2,2022
8054,5,2022
8055,2,2022
8056,1,2022
8057,6,2022
8060,1,2022
8081,1,2022
8084,1,2022
8088,1,2022
8093,1,2022
8094,1,2022
8102,1,2022
8109,1,2022
8160,1,2022
8173,3,2022
8180,1,2022
8182,1,2022
8191,1,2022
8193,1,2022
8195,1,2022
8202,1,2022
8204,2,2022
8210,1,2022
8211,1,2022
8221,1,2022
8234,1,2022
8239,1,2022
8253,1,2022
8295,1,2022
8302,1,2022
8312,2,2022
8323,1,2022
8330,1,2022
8361,1,2022
8502,16,2022
8510,3,2022
8512,3,2022
8515,3,2022
8520,4,2022
8527,2,2022
8535,1,2022
8536,32,2022
8540,31,2022
8542,1,2022
8543,1,2022
8550,40,2022
8551,1,2022
8558,6,2022
8560,1,2022
8611,1,2022
8648,2,2022
8690,1,2022
8691,3,2022
8716,1,2022
8723,1,2022
8746,1,2022
8750,1,2022
8753,1,2022
8755,1,2022
8758,1,2022
8770,1,2022
8775,1,2022
8800,1,2022
8805,1,2022
8807,12,2022
8810,8,2022
8812,1,2022
8816,21,2022
8817,11,2022
8820,28,2022
8822,2,2022
8823,3,2022
8824,13,2022
8830,1,2022
8831,10,2022
8833,1,2022
8837,1,2022
8840,2,2022
8844,8,2022
8850,2,2022
8852,13,2022
8853,2,2022
8854,18,2022
8857,5,2022
8862,1,2022
8866,1,2022
8867,3,2022
8869,4,2022
8872,1,2022
8873,11,2022
8876,1,2022
8886,2,2022
8887,2,2022
8901,1,2022
8902,6,2022
8904,1,2022
9011,1,2022
9012,1,2022
9131,1,2022
9263,1,2022
9464,2,2022
9600,1,2022
10000,55,2022
10001,38,2022
10002,89,2022
10003,37,2022
10004,41,2022
10005,19,2022
10006,9,2022
10007,32,2022
10008,102,2022
10009,41,2022
10010,46,2022
10011,3,2022
10012,14,2022
10014,12,2022
10016,19,2022
10017,4,2022
10019,25,2022
10020,1,2022
10021,3,2022
10022,1,2022
10023,3,2022
10024,8,2022
10025,2,2022
10026,2,2022
10027,4,2022
10028,2,2022
10029,3,2022
10030,2,2022
10031,2,2022
10032,1,2022
10033,3,2022
10036,5,2022
10039,1,2022
10044,3,2022
10053,1,2022
10059,1,2022
10060,1,2022
10061,1,2022
10062,1,2022
10065,1,2022
10068,1,2022
10073,1,2022
10074,1,2022
10075,3,2022
10083,2,2022
10084,3,2022
10085,1,2022
10086,1,2022
10087,5,2022
10089,1,2022
10100,2,2022
10101,2,2022
10110,11,2022
10111,2,2022
10112,2,2022
10120,5,2022
10123,1,2022
10124,1,2022
10128,4,2022
10130,4,2022
10131,3,2022
10140,3,2022
10149,1,2022
10150,7,2022
10160,3,2022
10170,1,2022
10209,1,2022
10210,2,2022
10220,28,2022
10221,6,2022
10224,1,2022
10230,4,2022
10234,1,2022
10240,2,2022
10243,1,2022
10244,2,2022
10248,2,2022
10250,6,2022
10260,13,2022
10262,2,2022
10280,1,2022
10282,1,2022
10287,1,2022
10300,3,2022
10301,2,2022
10302,2,2022
10303,2,2022
10305,1,2022
10306,3,2022
10307,1,2022
10308,1,2022
10310,4,2022
10312,2,2022
10320,1,2022
10348,1,2022
10360,1,2022
10384,1,2022
10400,4,2022
10404,1,2022
10415,1,2022
10420,1,2022
10423,1,2022
10449,1,2022
10462,1,2022
10463,6,2022
10466,1,2022
10467,2,2022
10468,1,2022
10470,2,2022
10471,1,2022
10472,2,2022
10475,2,2022
10480,1,2022
10501,2,2022
10504,2,2022
10505,1,2022
10506,6,2022
10510,3,2022
10514,6,2022
10520,4,2022
10522,2,2022
10528,1,2022
10530,4,2022
10531,1,2022
10532,1,2022
10533,4,2022
10538,1,2022
10540,3,2022
10543,2,2022
10547,2,2022
10549,1,2022
10550,2,2022
10552,1,2022
10558,1,2022
10562,1,2022
10566,1,2022
10567,4,2022
10570,1,2022
10582,1,2022
10583,9,2022
10589,1,2022
10590,1,2022
10591,1,2022
10594,1,2022
10598,4,2022
10600,4,2022
10603,1,2022
10604,1,2022
10605,1,2022
10606,2,2022
10610,1,2022
10617,1,2022
10644,2,2022
10646,1,2022
10647,1,2022
10649,1,2022
10651,1,2022
10670,1,2022
10679,1,2022
10681,1,2022
10683,1,2022
10684,1,2022
10693,1,2022
10701,1,2022
10704,1,2022
10708,1,2022
10710,1,2022
10750,1,2022
10800,1,2022
10801,1,2022
10803,1,2022
10851,1,2022
10871,1,2022
10900,1,2022
10903,2,2022
10920,2,2022
10924,1,2022
10930,1,2022
10940,1,2022
10941,2,2022
10950,1,2022
10952,1,2022
10956,1,2022
10960,2,2022
10965,1,2022
10970,1,2022
10973,1,2022
10986,1,2022
10994,1,2022
11000,39,2022
11001,39,2022
11002,18,2022
11003,13,2022
11004,10,2022
11005,5,2022
11006,7,2022
11007,24,2022
11008,11,2022
11009,13,2022
11010,1,2022
11011,2,2022
11012,2,2022
11013,1,2022
11016,4,2022
11017,2,2022
11018,2,2022
11020,3,2022
11021,3,2022
11023,3,2022
11024,2,2022
11030,4,2022
11034,1,2022
11040,3,2022
11047,1,2022
11049,1,2022
11050,4,2022
11051,1,2022
11060,2,2022
11062,1,2022
11075,1,2022
11091,1,2022
11093,1,2022
11100,1,2022
11101,5,2022
11102,2,2022
11103,3,2022
11104,2,2022
11107,1,2022
11109,1,2022
11111,1,2022
11112,1,2022
11115,2,2022
11120,1,2022
11140,1,2022
11141,1,2022
11143,1,2022
11148,2,2022
11152,1,2022
11157,2,2022
11181,2,2022
11192,1,2022
11195,1,2022
11200,3,2022
11201,7,2022
11203,1,2022
11204,4,2022
11205,2,2022
11206,2,2022
11207,2,2022
11210,2,2022
11211,4,2022
11213,1,2022
11214,4,2022
11215,4,2022
11216,2,2022
11217,1,2022
11218,2,2022
11219,2,2022
11221,3,2022
11222,2,2022
11223,1,2022
11225,1,2022
11228,2,2022
11229,4,2022
11230,2,2022
11235,2,2022
11238,2,2022
11248,1,2022
11249,4,2022
11263,1,2022
11270,1,2022
11271,1,2022
11276,1,2022
11284,1,2022
11300,3,2022
11310,1,2022
11311,1,2022
11325,1,2022
11341,1,2022
11345,1,2022
11346,1,2022
11354,7,2022
11355,4,2022
11357,2,2022
11361,3,2022
11364,2,2022
11365,3,2022
11366,1,2022
11369,1,2022
11372,2,2022
11373,2,2022
11374,6,2022
11375,8,2022
11377,4,2022
11378,1,2022
11379,4,2022
11381,1,2022
11385,2,2022
11390,1,2022
11400,8,2022
11403,1,2022
11411,1,2022
11412,1,2022
11416,1,2022
11419,1,2022
11420,1,2022
11421,2,2022
11422,2,2022
11423,2,2022
11427,1,2022
11428,1,2022
11432,2,2022
11434,1,2022
11435,1,2022
11451,1,2022
11455,1,2022
11462,1,2022
11463,1,2022
11481,1,2022
11490,2,2022
11499,1,2022
11500,1,2022
11501,1,2022
11502,1,2022
11510,1,2022
11517,1,2022
11520,4,2022
11529,1,2022
11530,2,2022
11548,1,2022
11550,1,2022
11554,1,2022
11557,1,2022
11559,1,2022
11561,2,2022
11564,1,2022
11566,1,2022
11569,1,2022
11576,1,2022
11577,1,2022
11580,1,2022
11590,2,2022
11596,1,2022
11600,13,2022
11601,3,2022
11602,12,2022
11603,1,2022
11610,1,2022
11624,1,2022
11625,1,2022
11630,2,2022
11640,1,2022
11641,1,2022
11642,1,2022
11647,1,2022
11650,1,2022
11651,1,2022
11660,5,2022
11673,1,2022
11694,1,2022
11696,1,2022
11702,2,2022
11704,1,2022
11705,1,2022
11710,2,2022
11712,1,2022
11720,1,2022
11721,1,2022
11725,4,2022
11727,1,2022
11729,1,2022
11732,1,2022
11733,2,2022
11735,2,2022
11738,1,2022
11739,1,2022
11740,2,2022
11741,1,2022
11742,1,2022
11743,1,2022
11746,2,2022
11747,2,2022
11750,1,2022
11753,9,2022
11758,2,2022
11764,2,2022
11768,1,2022
11769,2,2022
11771,1,2022
11774,1,2022
11778,1,2022
11779,1,2022
11780,2,2022
11784,1,2022
11787,1,2022
11790,2,2022
11791,5,2022
11793,1,2022
11797,2,2022
11798,1,2022
11800,3,2022
11801,2,2022
11803,1,2022
11813,1,2022
11820,1,2022
11821,1,2022
11826,1,2022
11830,4,2022
11835,4,2022
11843,1,2022
11853,1,2022
11870,1,2022
11889,1,2022
11900,1,2022
11921,1,2022
11931,3,2022
11940,1,2022
11941,1,2022
11953,1,2022
11955,1,2022
11957,1,2022
11969,1,2022
11978,1,2022
12000,3,2022
12019,2,2022
12020,1,2022
12025,1,2022
12047,1,2022
12054,1,2022
12065,4,2022
12095,1,2022
12098,1,2022
12100,10,2022
12101,4,2022
12110,1,2022
12111,1,2022
12120,3,2022
12123,1,2022
12130,2,2022
12135,1,2022
12140,1,2022
12144,1,2022
12147,1,2022
12150,1,2022
12170,1,2022
12180,1,2022
12200,47,2022
12201,19,2022
12209,1,2022
12210,4,2022
12211,1,2022
12220,1,2022
12221,1,2022
12226,1,2022
12230,1,2022
12251,1,2022
12260,1,2022
12286,1,2022
12302,1,2022
12306,1,2022
12309,1,2022
12310,7,2022
12311,1,2022
12312,1,2022
12318,1,2022
12329,1,2022
12332,1,2022
12354,1,2022
12357,1,2022
12400,2,2022
12401,2,2022
12430,1,2022
12432,1,2022
12450,1,2022
12477,1,2022
12483,1,2022
12500,2,2022
12501,1,2022
12508,1,2022
12511,1,2022
12518,1,2022
12520,1,2022
12521,1,2022
12528,1,2022
12531,1,2022
12549,2,2022
12553,1,2022
12563,1,2022
12569,1,2022
12572,1,2022
12573,1,2022
12585,1,2022
12601,1,2022
12603,1,2022
12610,1,2022
12622,1,2022
12623,1,2022
12682,1,2022
12701,1,2022
12710,1,2022
12715,1,2022
12717,1,2022
12731,1,2022
12746,2,2022
12751,1,2022
12759,1,2022
12771,1,2022
12774,1,2022
12790,1,2022
12798,1,2022
12803,1,2022
12804,1,2022
12807,1,2022
12819,1,2022
12866,1,2022
12880,1,2022
12883,1,2022
12904,1,2022
12910,1,2022
12921,1,2022
12930,1,2022
12940,1,2022
12960,1,2022
12980,1,2022
13000,18,2022
13001,6,2022
13002,3,2022
13003,2,2022
13020,1,2022
13021,1,2022
13036,1,2022
13066,1,2022
13077,1,2022
13088,1,2022
13090,1,2022
13100,2,2022
13102,1,2022
13104,1,2022
13126,1,2022
13151,1,2022
13167,1,2022
13200,7,2022
13201,1,2022
13210,3,2022
13214,1,2022
13215,1,2022
13216,1,2022
13220,2,2022
13230,1,2022
